current_token,next_token,probability_of_next_token,prompt_id,token_position
 by, one,1.0,2,30
 way,",",1.0,3,128
 \,),1.0,8,39
6,0,1.0,8,55
0,0,1.0,8,56
6,0,1.0,8,74
 of, the,1.0,8,100
 the, equation,1.0,8,101
6,0,1.0,8,123
0,0,1.0,8,124
 \,),1.0,8,218
6,0,1.0,8,238
0,0,1.0,8,239
2,.,1.0,9,62
4,.,1.0,9,92
 diagon,als,1.0,13,14
ilater,als,1.0,13,99
 diagon,als,1.0,13,129
ilater,als,1.0,13,151
 need, to,1.0,14,7
 results, in,1.0,14,99
 ,0,1.0,15,44
2,x,1.0,17,77
 case,",",1.0,18,90
 Additionally,",",1.0,19,70
Next,",",1.0,21,31
 resulting, in,1.0,21,90
Finally,",",1.0,21,98
2,.,1.0,21,192
., **,1.0,21,193
3,.,1.0,21,244
Next,",",1.0,22,33
Therefore,",",1.0,22,124
 case,",",1.0,23,67
 dealing, with,1.0,24,84
 is, the,1.0,26,25
 Well,",",1.0,26,206
Next,",",1.0,27,68
Finally,",",1.0,27,115
2,x,1.0,28,26
2,x,1.0,28,85
 ,1,1.0,28,193
4,",",1.0,29,38
 hand,",",1.0,30,237
8,0,1.0,31,129
7,2,1.0,31,169
 number, of,1.0,31,220
7,2,1.0,31,229
 Py,thag,1.0,33,104
 an, element,1.0,34,35
6,0,1.0,34,58
1,0,1.0,35,24
 need, to,1.0,36,7
 number, of,1.0,36,38
 Therefore,",",1.0,36,82
., **,1.0,36,145
., **,1.0,36,167
 pairs, of,1.0,39,83
"
",-,1.0,43,82
 dealing, with,1.0,44,59
 such, that,1.0,46,24
 case,",",1.0,46,86
 a,ces,1.0,47,96
Next,",",1.0,49,75
8,0,1.0,49,238
8,0,1.0,49,249
 case,",",1.0,50,95
0,0,1.0,51,26
0,0,1.0,51,51
0,.,1.0,51,74
Next,",",1.0,51,83
0,0,1.0,51,108
0,.,1.0,51,112
2,0,1.0,51,114
1,.,1.0,51,118
 Therefore,",",1.0,51,123
0,0,1.0,51,190
Finally,",",1.0,51,194
1,.,1.0,51,206
0,0,1.0,51,222
 dealing, with,1.0,52,71
2,.,1.0,52,129
"
",\,1.0,54,213
 me, to,1.0,55,64
 need, to,1.0,56,7
 of, the,1.0,56,19
Next,",",1.0,56,55
 results, in,1.0,56,72
 ,5,1.0,56,93
 ,1,1.0,56,96
1,1,1.0,56,97
2,x,1.0,56,153
Div,ide,1.0,56,165
 both, sides,1.0,56,167
 solve, for,1.0,56,174
 \,frac,1.0,56,193
6,}{,1.0,56,196
",", y,1.0,57,63
5,0,1.0,58,83
5,0,1.0,58,111
